DATE,populaton,birthrate(per1000)
1/1/60,180671000,23.7
1/1/61,183691000,23.3
1/1/62,186538000,22.4
1/1/63,189242000,21.7
1/1/64,191889000,21.1
1/1/65,194303000,19.4
1/1/66,196560000,18.4
1/1/67,198712000,17.8
1/1/68,200706000,17.6
1/1/69,202677000,17.9
1/1/70,205052000,18.4
1/1/71,207661000,17.2
1/1/72,209896000,15.6
1/1/73,211909000,14.8
1/1/74,213854000,14.8
1/1/75,215973000,14.6
1/1/76,218035000,14.6
1/1/77,220239000,15.1
1/1/78,222585000,15
1/1/79,225055000,15.6
1/1/80,227225000,15.9
1/1/81,229466000,15.8
1/1/82,231664000,15.9
1/1/83,233792000,15.6
1/1/84,235825000,15.6
1/1/85,237924000,15.8
1/1/86,240133000,15.6
1/1/87,242289000,15.7
1/1/88,244499000,16
1/1/89,246819000,16.4
1/1/90,249623000,16.7
1/1/91,252981000,16.2
1/1/92,256514000,15.8
1/1/93,259919000,15.4
1/1/94,263126000,15
1/1/95,266278000,14.6
1/1/96,269394000,14.4
1/1/97,272657000,14.2
1/1/98,275854000,14.3
1/1/99,279040000,14.2
1/1/00,282162411,14.4
1/1/01,284968955,14.1
1/1/02,287625193,14
1/1/03,290107933,14.1
1/1/04,292805298,14
1/1/05,295516599,14
1/1/06,298379912,14.3
1/1/07,301231207,14.3
1/1/08,304093966,14
1/1/09,306771529,13.5
1/1/10,309348193,13
1/1/11,311663358,12.7
1/1/12,313998379,12.6
1/1/13,316204908,12.4
1/1/14,318563456,12.5
1/1/15,320896618,12.4
