Date,Celsius
195101,-21.7
195102,-16.6
195103,-16.8
195104,-3.0
195105,4.3
195106,9.3
195107,11.8
195108,10.3
195109,5.1
195110,-4.4
195111,-7.9
195112,-16.0
195201,-20.1
195202,-15.8
195203,-12.3
195204,-6.8
195205,0.2
195206,8.7
195207,11.1
195208,9.3
195209,3.7
195210,-1.5
195211,-5.8
195212,-14.6
195301,-20.6
195302,-14.6
195303,-13.8
195304,-2.7
195305,4.4
195306,10.9
195307,12.2
195308,9.7
195309,4.8
195310,-4.3
195311,-11.2
195312,-14.7
195401,-19.6
195402,-21.2
195403,-10.4
195404,-5.9
195405,4.2
195406,9.2
195407,10.5
195408,10.1
195409,4.8
195410,-1.4
195411,-7.9
195412,-21.8
195501,-13.1
195502,-19.1
195503,-11.8
195504,-8.0
195505,2.1
195506,7.3
195507,11.4
195508,8.6
195509,4.3
195510,-5.3
195511,-16.6
195512,-17.9
195601,-21.3
195602,-19.3
195603,-13.4
195604,-5.3
195605,3.3
195606,8.6
195607,11.6
195608,9.4
195609,4.0
195610,-7.1
195611,-16.2
195612,-22.1
195701,-12.3
195702,-16.1
195703,-9.5
195704,-2.6
195705,4.0
195706,11.6
195707,11.5
195708,11.4
195709,4.9
195710,-1.3
195711,-7.0
195712,-19.8
195801,-15.6
195802,-13.7
195803,-8.3
195804,-2.7
195805,2.9
195806,10.7
195807,11.9
195808,10.0
195809,4.4
195810,-6.4
195811,-11.7
195812,-14.8
195901,-19.2
195902,-10.3
195903,-18.4
195904,-6.6
195905,3.6
195906,10.4
195907,9.4
195908,9.7
195909,4.4
195910,-4.0
195911,-9.8
195912,-18.4
196001,-15.2
196002,-11.3
196003,-12.9
196004,-8.0
196005,5.0
196006,8.5
196007,11.6
196008,9.3
196009,3.5
196010,-3.4
196011,-12.8
196012,-9.5
196101,-12.4
196102,-18.0
196103,-15.9
196104,-6.5
196105,4.4
196106,9.1
196107,10.6
196108,9.2
196109,5.0
196110,-5.7
196111,-12.9
196112,-22.2
196201,-15.9
196202,-10.6
196203,-12.0
196204,-5.1
196205,1.7
196206,9.1
196207,12.6
196208,10.7
196209,3.6
196210,-2.4
196211,-10.8
196212,-15.1
196301,-11.8
196302,-13.1
196303,-12.4
196304,-5.8
196305,4.2
196306,7.8
196307,11.0
196308,9.6
196309,5.9
196310,-4.1
196311,-16.8
196312,-10.7
196401,-17.8
196402,-16.3
196403,-16.0
196404,-7.2
196405,-0.2
196406,9.7
196407,11.2
196408,9.6
196409,5.3
196410,-2.4
196411,-11.5
196412,-22.7
196501,-18.8
196502,-20.2
196503,-5.0
196504,-4.0
196505,0.6
196506,7.9
196507,10.6
196508,8.8
196509,6.3
196510,-7.4
196511,-9.7
196512,-17.9
196601,-19.0
196602,-15.2
196603,-17.1
196604,-6.2
196605,1.1
196606,9.8
196607,11.0
196608,9.2
196609,5.5
196610,-5.0
196611,-10.9
196612,-18.1
196701,-17.2
196702,-15.4
196703,-9.4
196704,-3.2
196705,3.3
196706,10.1
196707,11.1
196708,10.3
196709,5.2
196710,-4.2
196711,-9.2
196712,-14.4
196801,-16.4
196802,-16.4
196803,-9.7
196804,-5.9
196805,3.1
196806,9.2
196807,12.8
196808,11.0
196809,3.6
196810,-4.8
196811,-11.1
196812,-19.4
196901,-20.5
196902,-16.0
196903,-10.2
196904,-2.6
196905,4.7
196906,10.9
196907,10.6
196908,7.1
196909,5.8
196910,-0.3
196911,-13.0
196912,-9.7
197001,-21.2
197002,-10.8
197003,-8.4
197004,-5.6
197005,3.7
197006,8.7
197007,10.6
197008,8.9
197009,2.5
197010,-7.3
197011,-8.8
197012,-17.3
197101,-24.3
197102,-18.3
197103,-17.2
197104,-7.6
197105,1.1
197106,9.7
197107,11.1
197108,9.3
197109,4.2
197110,-4.5
197111,-12.7
197112,-15.6
197201,-20.3
197202,-18.9
197203,-18.4
197204,-9.5
197205,2.5
197206,8.6
197207,12.7
197208,10.9
197209,3.7
197210,-2.6
197211,-10.3
197212,-14.8
197301,-21.3
197302,-14.6
197303,-12.9
197304,-4.4
197305,3.1
197306,8.8
197307,10.6
197308,8.7
197309,4.9
197310,-4.6
197311,-13.6
197312,-14.1
197401,-19.1
197402,-22.2
197403,-12.9
197404,-4.6
197405,3.9
197406,8.7
197407,11.2
197408,10.8
197409,6.8
197410,-5.6
197411,-13.4
197412,-19.2
197501,-20.3
197502,-17.2
197503,-11.9
197504,-6.8
197505,2.8
197506,8.2
197507,11.6
197508,9.5
197509,4.1
197510,-4.5
197511,-16.3
197512,-19.1
197601,-17.2
197602,-20.0
197603,-12.4
197604,-4.9
197605,2.6
197606,9.0
197607,11.4
197608,10.9
197609,5.4
197610,-4.0
197611,-7.4
197612,-14.5
197701,-8.1
197702,-9.4
197703,-14.7
197704,-7.7
197705,2.6
197706,9.8
197707,12.4
197708,12.5
197709,5.8
197710,-3.3
197711,-15.4
197712,-17.8
197801,-10.7
197802,-12.1
197803,-10.2
197804,-3.1
197805,4.2
197806,8.3
197807,11.9
197808,11.2
197809,5.9
197810,-4.4
197811,-8.3
197812,-12.1
197901,-12.1
197902,-22.0
197903,-9.9
197904,-3.7
197905,4.9
197906,9.1
197907,11.9
197908,11.6
197909,5.8
197910,-0.6
197911,-5.3
197912,-19.3
198001,-18.7
198002,-10.7
198003,-9.0
198004,-3.2
198005,4.2
198006,9.1
198007,11.6
198008,8.9
198009,3.8
198010,-2.0
198011,-8.9
198012,-21.9
198101,-6.6
198102,-12.8
198103,-5.6
198104,-4.2
198105,6.1
198106,9.3
198107,10.5
198108,9.3
198109,3.8
198110,-2.9
198111,-10.2
198112,-15.3
198201,-18.6
198202,-14.9
198203,-10.7
198204,-7.1
198205,1.8
198206,9.4
198207,11.4
198208,9.8
198209,5.3
198210,-7.1
198211,-11.6
198212,-12.5
198301,-18.3
198302,-13.6
198303,-10.4
198304,-2.9
198305,4.0
198306,10.1
198307,12.0
198308,8.7
198309,2.7
198310,-5.6
198311,-8.7
198312,-12.2
198401,-16.1
198402,-21.7
198403,-7.8
198404,-7.1
198405,2.3
198406,10.2
198407,11.1
198408,8.9
198409,5.6
198410,-3.6
198411,-13.0
198412,-14.0
198501,-7.3
198502,-17.9
198503,-10.7
198504,-10.8
198505,2.2
198506,8.2
198507,11.9
198508,9.4
198509,4.3
198510,-6.3
198511,-12.9
198512,-8.2
198601,-14.6
198602,-11.8
198603,-13.3
198604,-8.4
198605,2.7
198606,10.0
198607,11.8
198608,8.7
198609,5.3
198610,-3.4
198611,-11.7
198612,-9.2
198701,-13.0
198702,-13.2
198703,-10.4
198704,-5.2
198705,3.6
198706,9.4
198707,12.1
198708,10.6
198709,3.7
198710,-1.0
198711,-11.0
198712,-15.4
198801,-13.6
198802,-12.8
198803,-10.1
198804,-4.0
198805,4.6
198806,10.1
198807,12.5
198808,9.9
198809,4.4
198810,-6.3
198811,-14.8
198812,-12.3
198901,-24.4
198902,-9.6
198903,-11.8
198904,-2.0
198905,3.0
198906,9.8
198907,12.5
198908,11.5
198909,6.4
198910,-3.3
198911,-15.5
198912,-11.6
199001,-18.6
199002,-24.1
199003,-9.0
199004,-1.2
199005,5.9
199006,10.4
199007,12.9
199008,11.2
199009,4.5
199010,-4.4
199011,-15.2
199012,-16.6
199101,-15.6
199102,-15.3
199103,-11.1
199104,-2.9
199105,4.8
199106,10.8
199107,11.3
199108,9.2
199109,6.3
199110,-3.0
199111,-12.3
199112,-15.9
199201,-14.2
199202,-17.6
199203,-10.7
199204,-5.2
199205,1.1
199206,10.3
199207,12.6
199208,9.8
199209,-0.2
199210,-6.2
199211,-10.1
199212,-16.0
199301,-16.0
199302,-11.9
199303,-8.5
199304,-0.9
199305,5.7
199306,10.8
199307,13.8
199308,10.1
199309,4.3
199310,-1.2
199311,-9.0
199312,-11.2
199401,-13.7
199402,-15.5
199403,-12.8
199404,-3.6
199405,4.6
199406,9.7
199407,12.4
199408,11.0
199409,4.3
199410,-5.1
199411,-13.9
199412,-16.2
199501,-15.0
199502,-13.1
199503,-14.2
199504,-1.1
199505,5.9
199506,9.9
199507,12.1
199508,9.8
199509,7.7
199510,-2.8
199511,-12.8
199512,-14.7
199601,-19.1
199602,-15.6
199603,-7.9
199604,-4.6
199605,4.7
199606,9.8
199607,12.0
199608,8.6
199609,2.9
199610,-8.3
199611,-11.3
199612,-17.3
199701,-17.9
199702,-9.4
199703,-13.5
199704,-2.5
199705,5.0
199706,11.2
199707,13.0
199708,11.2
199709,7.0
199710,-6.5
199711,-7.7
199712,-15.7
199801,-17.4
199802,-12.0
199803,-6.6
199804,-0.8
199805,4.0
199806,9.9
199807,12.7
199808,8.7
199809,5.3
199810,-2.6
199811,-9.4
199812,-15.7
199901,-19.6
199902,-19.8
199903,-12.7
199904,-4.7
199905,3.0
199906,10.6
199907,11.8
199908,10.6
199909,5.5
199910,-5.1
199911,-13.3
199912,-19.2
200001,-17.4
200002,-8.8
200003,-8.2
200004,-4.2
200005,1.9
200006,10.7
200007,11.0
200008,8.6
200009,3.7
200010,-4.0
200011,-7.7
200012,-9.7
200101,-9.1
200102,-9.6
200103,-11.1
200104,-3.8
200105,0.4
200106,10.4
200107,11.2
200108,10.2
200109,5.8
200110,-5.7
200111,-12.4
200112,-17.4
200201,-12.5
200202,-12.9
200203,-9.2
200204,-5.8
200205,5.1
200206,10.0
200207,11.9
200208,9.6
200209,5.9
200210,-0.1
200211,-4.4
200212,-10.2
200301,-12.1
200302,-8.6
200303,-11.7
200304,-2.3
200305,3.6
200306,10.7
200307,11.9
200308,10.3
200309,3.9
200310,-0.2
200311,-9.6
200312,-15.2
200401,-18.0
200402,-12.2
200403,-12.2
200404,-1.8
200405,6.2
200406,12.8
200407,14.1
200408,12.9
200409,3.0
200410,-1.4
200411,-8.4
200412,-12.9
200501,-14.1
200502,-13.3
200503,-7.5
200504,-4.2
200505,6.5
200506,11.4
200507,12.4
200508,11.4
200509,6.1
200510,-2.6
200511,-14.9
200512,-10.1
200601,-20.4
200602,-10.9
200603,-13.5
200604,-6.2
200605,4.4
200606,9.5
200607,11.7
200608,9.1
200609,6.8
200610,-0.2
200611,-14.3
200612,-13.3
200701,-14.7
200702,-14.4
200703,-17.9
200704,-1.2
200705,4.1
200706,10.6
